BE,uBE,N,Z,eBE
342.052184,2.3999999999999997e-05,20,20,0
350.4150075,0.0001394,21,20,0
361.8957132,0.000147,22,20,0
369.8286079,0.00022789999999999998,23,20,0
380.95978360000004,0.0003256,24,20,0
388.37460150000004,0.00036449999999999997,25,20,0
398.7733008,0.0022356,26,20,0
406.04967559999994,0.0022231,27,20,0
416.00119680000006,1.9200000000000003e-05,28,20,0
421.14765,0.0001764,29,20,0
427.50819499999994,0.001585,30,20,0
432.3225885,0.0005202,31,20,0
438.3278692,0.0006707999999999999,32,20,0
441.5206233999999,0.043778,33,20,0
445.36482179999996,0.048438,34,20,0
446.92593,0.160215,35,20,0
449.8572624,0.24964240000000001,36,20,0
450.984,0.399,37,20,1
454.024,0.522,38,20,1
454.772,0.59,39,20,1
457.62,0.72,40,20,1
457.683,0.793,41,20,1
238.98,0.385,14,21,1
257.976,0.288,15,21,1
278.425,0.296,16,21,1
294.538,0.19,17,21,1
312.52484250000003,0.024000599999999997,18,21,0
326.946788,0.002828,19,21,0
343.1371139,7.79e-05,20,21,0
354.6870726,0.0001554,21,21,0
366.82553949999993,0.0018618999999999999,22,21,0
376.52474199999995,0.0017555999999999997,23,21,0
387.852345,0.0006615,24,21,0
396.6129890000001,0.0006716,25,21,0
407.25950259999996,0.0019317,26,21,0
415.49806559999996,0.004948800000000001,27,21,0
425.6277445,0.0022687,28,21,0
431.673735,0.002515,29,21,0
438.4582863,0.0025143,30,21,0
443.802814,0.0030732,31,21,0
450.1201225,0.0176967,32,21,0
453.859821,0.013975199999999998,33,21,0
458.335317,0.062408500000000006,34,21,0
461.08037360000003,0.2596664,35,21,0
465.0154962,0.179778,36,21,0
467.18672879999997,0.19002539999999998,37,21,0
470.60803070000003,0.24964080000000002,38,21,0
472.38,0.48,39,21,1
475.434,0.61,40,21,1
476.656,0.62,41,21,1
478.989,0.693,42,21,1
256.262,0.407,15,22,1
278.122,0.304,16,22,1
295.074,0.195,17,22,1
314.634528,0.068244,18,22,0
329.4099449,0.027945599999999998,19,22,0
346.88808,0.00026880000000000003,20,22,0
359.1706322,0.005719,21,22,0
375.47494600000005,0.0006996,22,22,0
385.0079445,0.000837,23,22,0
398.1972657999999,9.2e-05,24,22,0
407.0779275,7.99e-05,25,22,0
418.7045856,7.680000000000001e-05,26,22,0
426.8469625,7.84e-05,27,22,0
437.786135,8.499999999999999e-05,28,22,0
444.15855120000003,0.0004845,29,22,0
451.97460359999997,0.0027456,30,22,0
457.4496568,0.0028885,31,22,0
464.38335179999996,0.0158328,32,22,0
468.54332800000003,0.028875,33,22,0
474.205172,0.10020079999999999,34,22,0
477.25534559999994,0.2058783,35,22,0
481.8424820000001,0.183338,36,22,0
484.862,0.295,37,22,1
489.167148,0.24032399999999998,38,22,0
491.538,0.305,39,22,1
495.38,0.372,40,22,1
497.133,0.504,41,22,1
500.864,0.576,42,22,1
502.19,0.715,43,22,1
274.209,0.39,16,23,1
292.4,0.28,17,23,1
312.625,0.205,18,23,1
328.608,0.21,19,23,1
346.9890547,0.0428495,20,23,0
360.9520948,0.0072644,21,23,0
377.101773,0.0008639999999999999,22,23,0
390.36254579999996,0.0001334,23,23,0
403.3650356,0.00011279999999999998,24,23,0
413.90729280000005,0.0009696,25,23,0
425.4627615,0.0008232,26,23,0
434.79516,9.5e-05,27,23,0
445.8463452,9.69e-05,28,23,0
453.157588,0.0001612,29,23,0
461.63755249999997,0.0031005000000000004,30,23,0
467.7554628,0.011177999999999999,31,23,0
475.05365049999995,0.027016000000000002,32,23,0
480.18323360000005,0.1758848,33,23,0
486.5062119,0.0847647,34,23,0
490.5730480000001,0.09581599999999998,35,23,0
495.82440060000005,0.1373992,36,23,0
499.37250599999993,0.181944,37,23,0
504.5335437,0.23491710000000002,38,23,0
507.64090300000004,0.2642874,39,23,0
512.2391967,0.3399984,40,23,0
514.88,0.384,41,23,1
518.765,0.52,42,23,1
521.004,0.528,43,23,1
