Z,N,spinAndParity,betaMinus(keV),massExcess(keV),bindingEnergyLDMFit(keV),bindingEnergy(keV),bindingEnergyUncertainty,bindingEnergyLDMFitUncertainty,halflife,A,I,J,parity,S,L,d,P,K,np,nn,T,BEpA,BE,semf,error_semf,dz,error_dz
10,10,0+,-13892.4,-7041.9322,80.42742,8032.2412,20,20,0,20,0.0,0.0,1.0,0.0,0.0,1,0.9999997500000625,2.7144176165949063,8,8,0.0,8.0322412,160.644824,160.1741423124985,0.4706816875014965,160.85526257979254,-0.21043857979253744
10,11,3/2+,-3546.919,-5731.78,135.8833,7971.7136,18,18,0,21,0.047619047619047616,1.5,1.0,-0.5,2.0,0,1.199999760000048,2.7589241763811203,8,8,0.5,7.9717136,167.4059856,168.11012472384567,-0.704139123845664,167.22393560723188,0.18204999276812828
10,12,0+,-2843.32,-8024.716,175.9762,8080.4656,8,8,0,22,0.09090909090909091,0.0,1.0,0.0,0.0,1,1.3333331111111482,2.802039330655387,8,8,1.0,8.0804656,177.7702432,179.32586312787828,-1.5556199278782685,177.18973800175382,0.5805051982461862
10,13,5/2+,4375.81,-5154.04,135.734,7955.256,5,5,1,23,0.13043478260869565,2.5,1.0,0.5,2.0,0,1.428571224489825,2.8438669798515654,8,8,1.5,7.955256,182.970888,183.72304255380283,-0.7521545538028249,182.85902874799748,0.11185925200251745
10,14,0+,2466.3,-5951.6,96.669,7993.325,21,21,1,24,0.16666666666666666,0.0,1.0,0.0,0.0,1,1.4999998125000236,2.8844991406148166,8,8,2.0,7.993325,191.8398,191.6429894838313,0.1968105161687106,192.1666148348898,-0.32681483488980234
10,15,1/2+,7320.0,-2040.0,-3.1,7839.8,12,12,1,25,0.2,0.5,1.0,0.5,0.0,0,1.428571224489825,2.924017738212866,8,20,2.5,7.8398,195.995,193.36059001239335,2.6344099876066593,195.53447233730245,0.46052766269755807
10,16,0+,7342.0,481.0,-5.0,7751.9,7,7,1,26,0.23076923076923078,0.0,1.0,0.0,0.0,1,1.3333331111111482,2.9624960684073702,8,20,3.0,7.7519,201.5494,198.73134058877176,2.8180594112282336,201.2826952950448,0.2667047049552025
10,16,0+,7342.0,481.0,-5.0,7751.9,7,7,1,26,0.23076923076923078,0.0,1.0,0.0,0.0,1,1.3333331111111482,2.9624960684073702,8,20,3.0,7.7519,201.5494,198.73134058877176,2.8180594112282336,201.2826952950448,0.2667047049552025
10,17,(3/2+),12570.0,7050.0,-72.0,7520.0,3,3,1,27,0.25925925925925924,1.5,1.0,-0.5,2.0,0,1.199999760000048,3.0,8,20,3.5,7.52,203.04,198.3762962962964,4.6637037037035896,202.97247086232383,0.06752913767616064
10,17,(3/2+),12570.0,7050.0,-72.0,7520.0,3,3,1,27,0.25925925925925924,1.5,1.0,-0.5,2.0,0,1.199999760000048,3.0,8,20,3.5,7.52,203.04,198.3762962962964,4.6637037037035896,202.97247086232383,0.06752913767616064
10,17,(3/2+),12570.0,7050.0,-72.0,7520.0,3,3,1,27,0.25925925925925924,1.5,1.0,-0.5,2.0,0,1.199999760000048,3.0,8,20,3.5,7.52,203.04,198.3762962962964,4.6637037037035896,202.97247086232383,0.06752913767616064
10,18,0+,12290.0,11300.0,-82.0,7388.0,5,5,1,28,0.2857142857142857,0.0,1.0,0.0,0.0,1,0.9999997500000625,3.0365889718756622,8,20,4.0,7.388,206.864,201.7353445395966,5.128655460403394,207.10480678055538,-0.2408067805553742
10,18,0+,12290.0,11300.0,-82.0,7388.0,5,5,1,28,0.2857142857142857,0.0,1.0,0.0,0.0,1,0.9999997500000625,3.0365889718756622,8,20,4.0,7.388,206.864,201.7353445395966,5.128655460403394,207.10480678055538,-0.2408067805553742
10,18,0+,12290.0,11300.0,-82.0,7388.0,5,5,1,28,0.2857142857142857,0.0,1.0,0.0,0.0,1,0.9999997500000625,3.0365889718756622,8,20,4.0,7.388,206.864,201.7353445395966,5.128655460403394,207.10480678055538,-0.2408067805553742
10,19,(3/2+),15720.0,18400.0,-181.0,7167.0,5,5,1,29,0.3103448275862069,1.5,1.0,-0.5,2.0,0,0.6666664444445185,3.072316825685847,8,20,4.5,7.167,207.843,199.74809697167734,8.094903028322648,207.74852260976746,0.09447739023252666
10,19,(3/2+),15720.0,18400.0,-181.0,7167.0,5,5,1,29,0.3103448275862069,1.5,1.0,-0.5,2.0,0,0.6666664444445185,3.072316825685847,8,20,4.5,7.167,207.843,199.74809697167734,8.094903028322648,207.74852260976746,0.09447739023252666
10,19,(3/2+),15720.0,18400.0,-181.0,7167.0,5,5,1,29,0.3103448275862069,1.5,1.0,-0.5,2.0,0,0.6666664444445185,3.072316825685847,8,20,4.5,7.167,207.843,199.74809697167734,8.094903028322648,207.74852260976746,0.09447739023252666
10,19,(3/2+),15720.0,18400.0,-181.0,7167.0,5,5,1,29,0.3103448275862069,1.5,1.0,-0.5,2.0,0,0.6666664444445185,3.072316825685847,8,20,4.5,7.167,207.843,199.74809697167734,8.094903028322648,207.74852260976746,0.09447739023252666
10,20,0+,14800.0,23300.0,-219.0,7035.0,8,8,1,30,0.3333333333333333,0.0,1.0,0.0,0.0,1,0.0,3.1072325059538586,8,20,5.0,7.035,211.05,201.49221689560454,9.557783104395469,210.86949863807865,0.18050136192135824
10,20,0+,14800.0,23300.0,-219.0,7035.0,8,8,1,30,0.3333333333333333,0.0,1.0,0.0,0.0,1,0.0,3.1072325059538586,8,20,5.0,7.035,211.05,201.49221689560454,9.557783104395469,210.86949863807865,0.18050136192135824
10,20,0+,14800.0,23300.0,-219.0,7035.0,8,8,1,30,0.3333333333333333,0.0,1.0,0.0,0.0,1,0.0,3.1072325059538586,8,20,5.0,7.035,211.05,201.49221689560454,9.557783104395469,210.86949863807865,0.18050136192135824
10,20,0+,14800.0,23300.0,-219.0,7035.0,8,8,1,30,0.3333333333333333,0.0,1.0,0.0,0.0,1,0.0,3.1072325059538586,8,20,5.0,7.035,211.05,201.49221689560454,9.557783104395469,210.86949863807865,0.18050136192135824
10,21,(3/2-),18900.0,31200.0,-324.0,6813.0,9,9,1,31,0.3548387096774194,1.5,-1.0,0.5,1.0,0,0.6666664444445185,3.1413806523913927,8,20,5.5,6.813,211.203,198.199802613646,13.003197386354003,210.1836504473475,1.0193495526524998
10,21,(3/2-),18900.0,31200.0,-324.0,6813.0,9,9,1,31,0.3548387096774194,1.5,-1.0,0.5,1.0,0,0.6666664444445185,3.1413806523913927,8,20,5.5,6.813,211.203,198.199802613646,13.003197386354003,210.1836504473475,1.0193495526524998
10,22,0+,18400.0,37000.0,-368.0,6671.0,16,16,1,32,0.375,0.0,1.0,0.0,0.0,1,0.9999997500000625,3.1748021039363987,8,20,6.0,6.671,213.472,198.62824697238912,14.843753027610887,211.8049983408011,1.6670016591989167
10,22,0+,18400.0,37000.0,-368.0,6671.0,16,16,1,32,0.375,0.0,1.0,0.0,0.0,1,0.9999997500000625,3.1748021039363987,8,20,6.0,6.671,213.472,198.62824697238912,14.843753027610887,211.8049983408011,1.6670016591989167
10,22,0+,18400.0,37000.0,-368.0,6671.0,16,16,1,32,0.375,0.0,1.0,0.0,0.0,1,0.9999997500000625,3.1748021039363987,8,20,6.0,6.671,213.472,198.62824697238912,14.843753027610887,211.8049983408011,1.6670016591989167
10,22,0+,18400.0,37000.0,-368.0,6671.0,16,16,1,32,0.375,0.0,1.0,0.0,0.0,1,0.9999997500000625,3.1748021039363987,8,20,6.0,6.671,213.472,198.62824697238912,14.843753027610887,211.8049983408011,1.6670016591989167
10,24,0+,21200.0,52800.0,-500.0,6287.0,15,15,1,34,0.4117647058823529,0.0,1.0,0.0,0.0,1,1.3333331111111482,3.239611801277483,8,20,7.0,6.287,213.758,193.62104801322963,20.136951986770384,212.02264528824966,1.7353547117503467
10,24,0+,21200.0,52800.0,-500.0,6287.0,15,15,1,34,0.4117647058823529,0.0,1.0,0.0,0.0,1,1.3333331111111482,3.239611801277483,8,20,7.0,6.287,213.758,193.62104801322963,20.136951986770384,212.02264528824966,1.7353547117503467
10,24,0+,21200.0,52800.0,-500.0,6287.0,15,15,1,34,0.4117647058823529,0.0,1.0,0.0,0.0,1,1.3333331111111482,3.239611801277483,8,20,7.0,6.287,213.758,193.62104801322963,20.136951986770384,212.02264528824966,1.7353547117503467
