Z,A,M
32,60,-28.055
33,60,-5.487
34,60,13.740
36,60,65.697
14,61,199.447
15,61,163.925
16,61,129.176
17,61,98.758
18,61,69.391
19,61,44.037
20,61,19.947
21,61,0.502
22,61,-16.754
23,61,-30.505
24,61,-42.534
25,61,-51.386
26,61,-58.392
27,61,-62.537
28,61,-64.717
29,61,-62.249
30,61,-57.217
31,61,-47.829
32,61,-34.069
33,61,-17.694
34,61,3.411
35,61,26.599
36,61,52.798
14,62,208.872
15,62,173.841
16,62,137.801
17,62,107.982
18,62,76.836
19,62,52.238
20,62,25.945
21,62,7.210
22,62,-13.002
23,62,-25.635
24,62,-40.630
25,62,-48.132
26,62,-58.436
27,62,-60.989
28,62,-66.795
29,62,-62.560
30,62,-61.603
31,62,-51.844
32,62,-42.583
33,62,-24.488
34,62,-9.606
35,62,15.416
36,62,37.315
14,63,219.735
15,63,183.703
16,63,148.160
17,63,116.809
18,63,86.287
19,63,59.702
20,63,34.200
21,63,13.092
22,63,-6.371
23,63,-22.137
24,63,-35.962
25,63,-46.581
26,63,-55.478
27,63,-61.472
28,63,-65.624
29,63,-65.218
30,63,-62.448
31,63,-56.922
32,63,-47.295
33,63,-33.552
34,63,-17.004
35,63,1.988
36,63,25.649
38,63,80.029
14,64,228.687
15,64,193.195
16,64,156.567
17,64,125.833
18,64,93.726
19,64,67.884
20,64,40.367
21,64,20.183
22,64,-1.681
23,64,-16.570
24,64,-33.545
25,64,-42.887
26,64,-54.884
27,64,-59.369
28,64,-66.933
29,64,-64.830
30,64,-65.871
31,64,-58.463
32,64,-54.582
33,64,-38.968
34,64,-26.850
35,64,-6.221
36,64,11.359
37,64,38.732
38,64,63.184
15,65,202.688
16,65,166.596
17,65,134.530
18,65,103.053
19,65,75.415
20,65,48.669
21,65,26.306
22,65,5.382
23,65,-12.074
24,65,-28.101
25,65,-40.774
26,65,-51.441
27,65,-59.166
28,65,-65.165
29,65,-66.651
30,65,-65.952
31,65,-62.504
32,65,-56.698
33,65,-46.835
34,65,-32.899
35,65,-16.558
36,65,2.607
37,65,24.066
38,65,50.176
15,66,214.830
16,66,174.681
17,66,143.257
18,66,110.386
19,66,83.489
20,66,54.909
21,66,33.453
22,66,10.304
23,66,-6.105
24,66,-24.703
25,66,-36.289
26,66,-50.316
27,66,-56.612
28,66,-65.827
29,66,-65.685
30,66,-68.560
31,66,-63.303
32,66,-61.436
33,66,-51.088
34,66,-41.471
35,66,-23.343
36,66,-8.544
37,66,14.476
38,66,34.600
15,67,227.695
16,67,187.312
17,67,151.723
18,67,119.499
19,67,90.991
20,67,63.172
21,67,39.724
22,67,17.482
23,67,-1.320
24,67,-18.832
25,67,-33.141
26,67,-45.991
27,67,-55.832
28,67,-63.566
29,67,-66.792
30,67,-68.000
31,67,-66.462
32,67,-62.745
33,67,-56.481
34,67,-46.384
35,67,-32.438
36,67,-15.902
37,67,2.888
38,67,24.526
39,67,48.317
40,67,76.781
16,68,198.626
17,68,162.975
18,68,126.634
19,68,98.874
20,68,69.397
21,68,46.847
22,68,22.551
23,68,4.756
24,68,-15.159
25,68,-28.285
26,68,-43.853
27,68,-52.370
28,68,-63.686
29,68,-65.348
30,68,-69.915
31,68,-66.640
32,68,-66.624
33,68,-58.448
34,68,-53.876
35,68,-38.017
36,68,-25.734
37,68,-5.233
38,68,12.096
39,68,37.383
40,68,59.912
17,69,174.599
18,69,138.258
19,69,106.258
20,69,77.539
21,69,53.180
22,69,29.765
23,69,9.747
24,69,-9.130
25,69,-24.811
26,69,-39.156
27,69,-50.530
28,69,-60.415
29,69,-65.849
30,69,-68.816
31,69,-69.041
32,69,-67.250
33,69,-62.915
34,69,-56.390
35,69,-46.061
36,69,-31.914
37,69,-15.534
38,69,3.460
39,69,24.570
40,69,48.551
18,70,148.450
19,70,116.604
20,70, 83.666
 21, 70,60.205
 22, 70,34.901
 23, 70,15.857
 24, 70,-5.261
 25, 70, -19.810
 26, 70, -36.713
 27, 70, -46.772
 28, 70, -59.504
 29, 70, -63.463
 30, 70, -70.140
 31, 70, -68.697
 32, 70, -70.393
 33, 70, -64.220
 34, 70, -61.516
 35, 70, -50.609
 36, 70, -40.624
 37, 70, -22.409
 38, 70,-7.608
 39, 70,15.147
 40, 70,34.874
 42, 70,88.304
 18, 71, 160.749
 19, 71, 127.015
 20, 71,94.293
 21, 71,66.521
 22, 71,42.080
 23, 71,20.975
 24, 71, 0.856
 25, 71, -16.088
 26, 71, -31.825
 27, 71, -44.581
 28, 71, -55.957
 29, 71, -62.864
 30, 71, -68.090
 31, 71, -70.444
 32, 71, -70.437
 33, 71, -67.886
 34, 71, -63.307
 35, 71, -56.355
 36, 71, -45.797
 37, 71, -31.618
 38, 71, -15.026
 39, 71, 3.662
 40, 71,24.991
 41, 71,48.805
 42, 71,75.643
 18, 72, 171.626
 19, 72, 137.997
 20, 72, 103.383
 21, 72,75.918
 22, 72,47.210
 23, 72,27.054
 24, 72, 4.849
 25, 72, -11.008
 26, 72, -29.149
 27, 72, -40.652
 28, 72, -54.721
 29, 72, -60.145
 30, 72, -68.320
 31, 72, -69.205
 32, 72, -72.944
 33, 72, -68.626
 34, 72, -67.654
 35, 72, -58.770
 36, 72, -53.542
 37, 72, -37.423
 38, 72, -24.932
 39, 72,-4.476
 40, 72,12.715
 41, 72,38.071
 42, 72,60.709
 18, 73, 184.516
 19, 73, 149.104
 20, 73, 114.655
 21, 73,85.110
 22, 73,56.813
 23, 73,32.227
 24, 73,10.990
 25, 73,-7.109
 26, 73, -24.135
 27, 73, -38.184
 28, 73, -50.963
 29, 73, -59.155
 30, 73, -65.821
 31, 73, -69.793
 32, 73, -72.074
 33, 73, -71.596
 34, 73, -68.824
 35, 73, -63.676
 36, 73, -56.479
 37, 73, -45.694
 38, 73, -31.307
 39, 73, -14.830
 40, 73, 4.087
 41, 73,25.391
 42, 73,49.574
 18, 74, 195.993
 19, 74, 160.643
 20, 74, 124.406
 21, 74,95.121
 22, 74,64.791
 23, 74,40.747
 24, 74,15.041
 25, 74,-2.008
 26, 74, -21.293
 27, 74, -34.144
 28, 74, -49.471
 29, 74, -56.225
 30, 74, -65.666
 31, 74, -68.065
 32, 74, -73.430
 33, 74, -71.470
 34, 74, -72.493
 35, 74, -65.488
 36, 74, -62.010
 37, 74, -50.569
 38, 74, -40.210
 39, 74, -21.863
 40, 74,-6.990
 41, 74,15.988
 42, 74,36.087
 44, 74,88.390
 19, 75, 172.364
 20, 75, 136.245
 21, 75, 104.992
 22, 75,75.020
 23, 75,48.815
 24, 75,23.708
 25, 75, 2.003
 26, 75, -16.211
 27, 75, -31.462
 28, 75, -45.561
 29, 75, -54.914
 30, 75, -62.896
 31, 75, -68.206
 32, 75, -71.972
 33, 75, -73.226
 34, 75, -72.767
 35, 75, -69.657
 36, 75, -64.287
 37, 75, -56.690
 38, 75, -45.680
 39, 75, -31.243
